Time;Iteration;Ratio;GPolarization;I1;I2;RatioStdError;GPolarizationStdError;;I1StdError;I2StdError;RealTime
845.06;1;3,0474506;0.50586179;19986.4;6558.4;0,034751428;0,004999503;97,198657;67,646138;4815,6436;21,55
850.73;1;3,0512899;0.50633006;20060.4;6574.4;0,031644206;0,004520274;87,850351;61,804445;4821,3152;21,56
856.4;1;3,1001168;0.51220902;20164.4;6504.4;0,029931841;0,004353335;86,692439;56,230728;4826,9812;21,56
862.08;1;3,0543816;0.50670652;20062.4;6568.4;0,031169596;0,004786486;97,202989;58,993309;4832,6638;21,5633
867.75;1;3,0964348;0.51177057;20010.4;6462.4;0,032122556;0,004417774;84,160248;61,284496;4838,3319;21,5666
873.43;1;3,0550912;0.50679284;20030.4;6556.4;0,026256846;0,003602759;67,969033;51,77075;4844,0138;21,5666
879.13;1;3,0475085;0.50586886;19962.4;6550.4;0,03312562;0,006096253;132,77603;56,314904;4849,7125;21,57
884.9;1;3,0858933;0.51051096;20090.4;6510.4;0,035068733;0,005214874;104,59345;65,765132;4855,4786;21,57
890.57;1;3,0238819;0.50296752;19904.4;6582.4;0,038562843;0,006206835;127,69948;72,547625;4861,1516;21,57
896.25;1;3,1073892;0.51307269;20000.4;6436.4;0,039670621;0,005988009;120,82088;72,389298;4866,8339;21,5733
901.93;1;3,0564614;0.50695944;20094.4;6574.4;0,030003444;0,004624953;94,282889;56,687509;4872,5088;21,5733
907.62;1;3,0608419;0.50749129;19982.4;6528.4;0,029609519;0,005157375;110,34873;51,852016;4878,2027;21,5866
913.28;1;3,1055542;0.51285505;20218.4;6510.4;0,035136491;0,004721634;89,532117;67,782935;4883,8642;21,5866
918.97;1;3,0559869;0.50690176;20152.4;6594.4;0,044794974;0,005882786;107,67886;90,010526;4889,552;21,58
924.64;1;3,0254838;0.50316531;20135.2;6655.2;0,034297716;0,005108972;101,94322;67,502826;4895,2195;21,58
933.28;1;3,04922;0.50607771;20171.2;6615.2;0,03371734;0,005115004;103,68373;64,765163;4903,8637;21,5933
938.95;1;3,096794;0.51181338;20207.2;6525.2;0,033919191;0,004254799;75,778069;67,151047;4909,5301;21,5933
944.62;1;3,0331478;0.50410943;20277.2;6685.2;0,03639083;0,005331666;106,15877;72,167933;4915,2047;21,5966
950.3;1;3,055569;0.50685095;20213.2;6615.2;0,029153078;0,004614439;95,88919;54,760724;4920,8867;21,5966
955.97;1;3,0970113;0.51183927;20227.2;6531.2;0,024849499;0,004336482;94,050378;42,708313;4926,5509;21,59
961.65;1;3,0843864;0.51033036;20015.2;6489.2;0,034638254;0,0048974;94,883863;66,063765;4932,2355;21,59
967.32;1;3,0456322;0.50563968;20263.2;6653.2;0,034488013;0,005277595;107,9376;66,483081;4937,9015;21,6
972.99;1;3,05721;0.50705042;20285.2;6635.2;0,027798824;0,004651309;99,450067;50,812348;4943,5765;21,6033
978.64;1;3,0179439;0.50223298;20115.2;6665.2;0,039392007;0,006110086;124,56577;76,583632;4949,2258;21,6066
984.31;1;3,0694344;0.50853121;20317.2;6619.2;0,031264372;0,004763962;97,733257;59,428861;4954,8965;21,6066
990.01;1;3,0616488;0.50758914;20143.2;6579.2;0,031020842;0,005073988;106,72148;56,821049;4960,5888;21,6066
995.66;1;3,114096;0.51386648;20077.2;6447.2;0,028278043;0,003733295;69,480781;54,126557;4966,2455;21,6066
1001.35;1;3,0381721;0.50472641;20025.2;6591.2;0,02876169;0,004077246;78,484326;56,798814;4971,9341;21,61
1007.02;1;2,9913471;0.49891605;20189.2;6749.2;0,024927647;0,003471542;65,744321;51,77075;4977,6041;21,61
1012.69;1;3,078744;0.50965297;20237.2;6573.2;0,037293877;0,006404385;138,11589;65,782736;4983,2742;21,61
1018.36;1;3,0423559;0.50523902;20083.2;6601.2;0,035587236;0,004942417;94,077236;70,753836;4988,9392;21,6133
1024.03;1;2,9697687;0.49619231;20079.2;6761.2;0,03273725;0,005673146;121,32254;62,338634;4994,6091;21,6133
1029.71;1;3,0607356;0.50747839;20339.2;6645.2;0,023868134;0,0038456;81,118497;44,530297;5000,2942;21,6266
1035.39;1;2,9806964;0.49757534;20135.2;6755.2;0,032565254;0,005113525;104,59345;64,92749;5005,9701;21,62
1041.16;1;3,0888118;0.51086034;20297.2;6571.2;0,031599399;0,004222057;79,698115;62,076354;5011,7448;21,62
1046.83;1;2,9873675;0.49841594;19959.2;6681.2;0,028512058;0,005867805;132,15302;45,926715;5017,4094;21,62
1052.5;1;3,064739;0.50796348;20053.2;6543.2;0,026977071;0,005043385;110,87689;44,815411;5023,0763;21,62
1058.18;1;3,0722159;0.5088669;20403.2;6641.2;0,032173363;0,005551872;120,90884;57,34292;5028,758;21,6333
